"",3.29344787070388,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い,が良く,で満足しています,は満点です,は良いのですが,も良く,も良いし,がいまいち,は感じます,も良いと,はよいです,もよく,は優秀です,もいいです,は良いです,はできます,はないです,にあります,の良い,は満足です,はしますが,を考えると,は感じました,になく,は撮れます,が優れている,を考えて,はいい,も良好,も良好です,がよい,も思います,がよく,にありません,はいいです,は感じです,が気に入りました,は感じますが,といい,は素晴らしい,は印象です,はありません,は無く,は思いますが,は悪くないと,も満足しています,は思います,は抜群です,もいい,がよくて,は良いと,はいいと,は感じですが,が良いと,は良い,に関してはします,がよいと,はない,はなく,にはあり,もありますが,についてはありません,は良いとは,は悪くはないのですが,はよく,は満足しています,も良好で,もよいです,という点では,はありませんが,がいいです,がいいですね,をしましたが,は優れていると,も良いです,がいいので,は気に入っています,は良好です,もなく,はしました,はありますが,は劣りますが,は悪いです,で決めました,はいいですね,については思います,は良いですが,はないので,は良く,は最高,は悪い,に満足しています,が良いので,は良いですね,にはあります,はものです,は使えます,が劣る,はないと,は良いので,はよい,が高い,も抜群,にない,で思います,が悪いのは,もいいので,は言えません,も悪くないです,ではありません,に関してはありません,はいいのですが,を含めて,は感じた,に感じます,は秀逸,がいい,が良くない,にあり,が素晴らしい,も含めて,も悪くなく,も良いので,はあり,はところでしょうか,が悪いです,はすばらしいです,が高く,を考えれば,もありません,は及びませんが,も問題なく,はあります,には満足しています,がイマイチ,は最高!,があれば,も比べると,も画質も,にある,があり,もいいと,は悪くない,はものだと,はいいし,が良くて,は無い,も良くて,もよい,が悪く,がありません,が良いという,が悪いと,はよいと,がよいので,も良いですし,が悪いので,でありません,もあります,が悪いという,が良くなった,も良いですね,が悪すぎます,がないと,という意味では,が違う,は十分だと,が良いのは,が感じます,がいいと,もいいですね,は方だと,は優れています,にありますが,は4と,はすばらしい,が良かったです,はないが,が悪くなります,もいいですし,は落ちますが,はします,は十分です,は知れませんが,も上々です,はよりますが,は無いので,も悪くないと,がある,をして,も満足,は悪くないです,が良いとは,がこと,を求める,も綺麗,が思った,が好きなので,になる,は感じません,は文句なしです,で安心して,は感じ,はなります,は文句なし,は問題なし,も十分,はないですが,はあるので,が欲しい,がよければ,を出してくれる,は上です,に感じる,を持っている,がきれい,がきれいです,は素晴らしいと,は最高ですね,が得られます,になりました,もあり,も満足です,というか,は大満足です,が気に入っています,もいいし,にはありません,が良くなりました,になります,が優れています,も良いですが,は素晴らしいです,もものです,はあるでしょうが,が良い!,も気に入っています,はしましたが,があると,にあると,が楽しめます,は好みです,は違います,も文句なし,を出してくれます,に近い,は高く,は素晴らしく,に関しては思います,と言う,はありますね,を考え,は絞り,は素直で,もいく,が出ます,はある,や操作性,はなりませんでした,になってしまいます,も操作性も,となります,が出る,があります,には驚きました,が違います,は得られます,になるので,はピカイチです,かなと思います,がなる,が感じる,を撮る,という感じです,はレンズだと,でしました,も感じます,と相まって,のある,を含め,がお気に入りです,をすると,はありましたが,を持った,はシャープ,もない,も高く,を考えたら,が必要な,は充分,をした,は有りません,を含めた,が高いので,が高いです,は高い
画質,○,7.27366532223183,24,12,0,0,7,10,6,8,0,4,14,2,2,8,6,2,11,1,9,13,1,3,3,2,7,2,2,2,3,2,1,0,3,1,2,1,5,1,3,11,2,1,0,3,5,1,18,0,7,1,11,28,1,4,1,19,11,2,13,7,2,0,1,0,1,1,1,1,0,2,8,2,1,2,4,6,1,1,1,5,1,5,2,5,3,9,7,3,0,2,6,1,0,7,1,2,4,5,5,3,11,2,2,1,0,4,0,1,1,0,3,3,0,1,0,3,2,0,1,1,0,9,1,1,1,1,3,0,8,2,4,4,0,2,6,2,0,6,12,1,2,1,1,0,3,1,2,1,1,0,2,0,4,0,0,0,1,4,1,0,1,2,0,0,2,1,0,1,1,0,3,1,2,0,1,1,2,3,1,0,1,1,1,0,4,5,7,4,1,1,2,2,3,0,2,1,0,2,0,6,1,3,1,3,2,8,1,3,2,7,2,3,2,2,2,2,1,3,1,2,2,3,4,1,6,1,1,4,2,4,4,2,1,2,5,1,1,4,4,1,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作性,○,6.73883002412415,4,6,0,1,1,8,8,1,2,4,12,1,1,2,6,4,5,1,3,6,2,1,1,4,2,1,3,6,1,1,1,2,2,2,3,2,3,3,3,4,3,1,2,1,1,1,11,1,3,1,2,11,6,5,1,10,9,1,2,2,1,1,1,1,1,2,3,1,2,1,1,1,2,4,1,3,1,1,2,9,2,1,6,2,5,3,2,3,2,1,2,2,2,2,1,2,1,2,1,2,2,1,1,4,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,○,6.67710118390961,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,2,0,0,0,10,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,4,1,0,0,1,0,0,8,1,1,0,0,6,0,3,0,2,3,0,2,1,0,1,4,2,1,1,0,0,0,1,1,0,0,0,2,0,2,1,0,0,0,0,0,1,2,2,0,0,1,1,0,0,2,1,1,0,1,0,0,3,1,1,0,4,1,3,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,1,0,3,1,2,0,0,5,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,6,5,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,6,0,0,0,0,2,1,5,1,0,0,0,1,0,0,1,3,0,1,0,1,1,2,1,0,0,0,1,1,0,0,0,0,2,0,0,3,1,0,5,0,0,0,1,0,0,1,0,3,1,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,1,1,1,1,1,2,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,2,0,0,1
写り,○,6.54467278225504,4,2,0,0,4,2,4,0,0,1,4,1,0,1,2,0,1,0,0,4,0,3,0,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,1,0,0,0,2,1,6,0,0,0,1,4,0,3,0,5,2,0,2,3,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,4,0,0,0,2,2,1,2,1,0,1,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5,0,4,0,0,1,0,2,1,0,1,0,2,8,0,0,1,3,0,0,0,0,0,2,0,1,0,0,1,2,1,2,1,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,1,1,0,2,0,1,1,3,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0
携帯性,○,6.51401201481974,6,3,0,0,1,1,2,0,1,5,12,1,0,1,2,3,6,2,1,3,0,1,0,11,2,0,3,1,0,0,2,2,0,0,0,3,1,0,1,10,2,1,4,1,1,0,11,0,2,2,0,12,17,0,1,12,0,1,1,3,0,1,1,0,0,0,0,4,0,0,2,0,1,3,7,1,0,2,1,2,5,0,3,1,4,0,6,5,1,0,1,0,1,4,1,2,0,1,1,0,2,0,0,2,2,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,2,2,1,1,2,0,0,4,0,0,0,0,2,0,0,1,0,1,1,0,2,0,2,0,0,1,1,1,3,0,2,0,0,0,0,1,0,2,0,0,3,0,5,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,1,0,0
質感,○,6.49154819702938,4,1,0,2,4,6,5,0,0,1,5,0,0,2,3,1,2,0,5,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,5,4,5,0,4,0,1,2,0,1,1,1,2,0,0,0,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,2,0,1,1,1,0,3,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,1,3,1,0,1,0,0,0,6,0,0,0,0,6,2,0,0,1,1,1,1,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,0,0,0,1,0,1,0,2,0,2,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,2,2
デザイン,○,6.49133264977544,7,0,0,0,2,2,3,0,1,2,7,2,0,5,4,1,1,0,3,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,3,5,5,0,1,0,0,0,1,3,3,1,11,0,2,0,11,6,1,1,2,1,0,0,1,1,0,1,0,1,1,2,1,0,0,2,0,4,1,0,2,0,13,1,0,1,4,0,0,6,0,0,2,1,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,5,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,1,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,4,3,0,0,1,1,1,0,0,1,1,3,0,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,○,6.40592443727501,3,5,0,1,0,1,5,0,1,3,6,0,0,1,0,2,5,0,3,14,1,0,0,3,1,1,0,1,0,0,0,0,2,0,2,0,0,1,2,2,3,0,0,2,0,0,9,0,2,0,2,4,4,3,0,4,0,0,1,7,1,3,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,1,0,4,1,2,9,0,2,0,0,1,0,0,0,1,0,1,2,1,0,3,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,2,0,0,1,2,1,2,0,0,0,1,4,2,0,0,0,1,1,5,0,0,3,1,1,0,0,0,0,0,2,2,3,0,1,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,3,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
描写,○,6.32916198688013,0,0,0,1,1,1,1,0,0,0,6,0,0,0,0,0,0,0,1,5,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0,4,1,0,0,0,5,0,1,0,0,0,0,4,1,0,0,0,3,0,0,1,0,0,1,2,0,0,0,0,1,0,0,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,2,0,1,4,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,5,0,2,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,2,0,0,1,0,0,1,0,2,1,0,1,1,1,0,2,0,0,3,0,0,0,0,0,0,7,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0
機能,○,6.14606608479994,3,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,8,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,0,1,0,4,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0,0,1,0,4,2,0,1,0,0,0,1,0,1,0,5,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,1,3,0,0,7,0,0,0,10,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,5,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,2,1,2,5,0,0,0,0,3,0,0,2,0,0,1,3,1,0,1,0,0,1,0,0,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,3,0,1,0,2,2,1,1,0,0,0,0,0
