"",H,操作性,画質,写り,機能,ホールド感,携帯性,画像,レンズ,質感,解像度,AF,描写,動画,色,使い勝手,デザイン,感じ,機種,コストパフォーマンス,相性,バッテリー,重さ,バランス,ボケ,精度,性能,液晶,グリップ,解像感,発色,AF精度,補正,良さ,機能性,表現力,色合い,描写力,大きさ,撮影,カメラ,ズーム,感触,見た目
が良い,4.05328288269212,4,24,4,3,3,6,1,1,4,1,1,0,1,1,17,7,4,1,5,2,1,3,14,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
が悪い,3.66351362833776,6,12,2,1,5,3,1,1,1,1,1,0,0,2,7,0,0,0,0,0,0,0,6,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
が良いです,3.28939627838542,4,6,1,0,2,5,0,0,2,0,0,0,0,0,15,2,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
は高いです,3.50325833477565,1,0,0,1,1,0,0,1,2,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
は最高です,3.93372056513755,1,7,4,2,0,1,1,0,4,0,0,1,0,0,2,2,2,0,9,1,0,0,0,2,0,0,1,0,0,2,0,0,1,1,1,1,0,0,0,0,1,0,0
も良い,3.77833473560606,8,10,2,1,1,1,1,1,6,1,0,1,0,1,1,2,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
に関しては良かったような,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は普通,2.64160416786859,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良く,3.76140331852096,8,6,4,0,5,2,0,1,5,0,0,1,0,0,10,3,0,0,1,1,0,0,10,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,1
で満足しています,3.09943641248469,1,8,0,1,0,0,2,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0
