"",H,操作性,レスポンス,持ち,画質,色,使い勝手,写り,機能,ホールド感,グリップ感,携帯性,画像,・画質,バランス,もち,ホールド性,見え,レンズ,質感,精度,ハンドリング,視認性,目,条件,解像度,AF
が良い,3.74078084260673,4,8,24,24,1,17,4,3,3,1,6,1,2,14,1,1,1,1,4,2,1,2,1,1,1,1
が悪い,3.70131972257565,6,6,36,12,2,7,2,1,5,1,3,1,1,6,7,2,1,1,1,2,1,1,2,2,1,1
に関しては良かったような,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は普通,1.79248125036058,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が良く,3.36335305278127,8,6,0,6,0,10,4,0,5,0,2,0,0,10,0,4,0,1,5,2,0,0,0,0,0,0
で満足しています,1.95021206491475,1,1,0,8,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思ったより,1.58496250072116,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は満点です,1.5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いのですが,2.70370169605735,4,1,1,4,0,0,1,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良く,3.50371868620421,12,6,7,14,1,4,6,0,6,0,12,0,0,6,0,0,0,1,5,1,0,2,0,0,1,0
は問題無し,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が不満です,1.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は見習ってほしいと,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はグッド,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に入らないかもしれませんが,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
や機能等は,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良くなったと,1.58496250072116,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も簡便で,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよかったかなぁって,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
についてはあるし,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
には使えます,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はできてよいです,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,2.41938194564637,1,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
を良くする,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を覚える,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいまいち,2.25162916738782,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
などもしましたが,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が抜群,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じます,2.82192809488736,2,0,0,8,0,0,1,0,1,0,1,2,1,0,0,0,0,1,2,0,0,0,0,0,0,1
も慣れてる,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いと,2.9978807895255,6,0,1,6,0,1,2,0,0,0,2,1,0,11,0,0,0,0,3,2,0,0,0,0,0,2
や液晶の,1.79248125036058,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
はよいです,2.86382639009082,4,0,3,2,0,0,0,0,2,0,3,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
も良い,3.45582159299976,8,1,4,10,1,1,2,1,1,2,1,1,1,1,0,0,0,1,6,0,0,0,0,0,1,0
やバッテリーも,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もシンプルで,0.91829583405449,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
などは評価です,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いです,3.02686773118536,4,0,7,6,0,15,1,0,2,0,5,0,0,7,1,2,0,0,2,0,0,0,0,0,0,0
は引き継がれていて良いです,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよく,3.13113737855052,5,0,6,11,0,4,1,0,5,0,6,1,0,5,0,0,0,0,2,0,0,0,0,0,1,0
は優秀です,2.5,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
も秀逸,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えており,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,2.96379639074777,3,1,6,9,0,1,0,0,3,0,1,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0
は良いです,3.65917719552758,6,1,10,13,0,10,4,0,14,1,3,2,0,5,1,2,0,10,4,1,0,0,0,0,1,2
はできます,1.5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
についてもできませんが,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はないです,2.62581458369391,1,0,0,3,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
を低くした,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあります,2.40563906222957,1,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
に難ありです,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
では快適でした,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が抜群です,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ははず,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も考えられた,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の良い,3.15519617336748,4,2,0,2,0,12,7,0,3,0,11,0,0,20,0,0,0,5,1,2,0,2,0,2,0,0
も向上してると,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は難しいのではないかと,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はもちます,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないのですが,1.5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を維持するのに,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は快適です,0.811278124459133,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はなりましたが,-0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足です,2.63373142064213,2,0,0,7,0,1,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
もなかなかだと,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はしますが,2.41938194564637,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
が◎です,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いのが,1.5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は使えました,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
を考えると,2.65656476213095,3,0,0,2,0,4,0,8,0,0,3,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0
も優れています,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
について思います,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も無い,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
に優れています,1.37095059445467,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は今ひとつ,1.5487949406954,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は活かせます,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じました,2.19968779473133,6,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
になく,1.84237099317711,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
