"",2.65754247590989,H,の高い,の良い,は高いです,が良い,が高い,は高いと,が悪い,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,が良いです,もよく,がいいです,がいい,が良いと,が高く,は高い,がよい,も良いと,は最高です,が高いと,がよく,のよい,も良いです,も高く,があります,はいいと,は良好です,はいいです,が良いので,も良い,は良い,もいいです,はあります,は5です,が悪いと,は良く,は高く,が悪く,もありません,もいい,は満点です,はいいですね,がいいので,は抜群です,が悪いです,がいいと,は最高だと,も高い,も良いので,の悪い,が良くて,は最高ですね,も良好です,も満足しています,は悪いです,が弱いです,がいいですね,もいいですね,は良いのですが,がよいです,はよいと,は良いですね,が低い,は素晴らしいです,はよいです,は高いですね,に優れている,に優れていると,が良くない,が悪いので,には満足しています,は抜群,は大満足です,がよいと,もありますが,は抜群だと,は満足です,で満足しています,も悪くなく,は満足しています,に優れ,の強い,が多い,がありません,は気に入っています,を重視して,も高いです,は悪くないと,は文句なしです,もいいと,が素晴らしい,に満足しています,が高かった,は最高,はいい
画質,○,5.63443770542013,0,2,0,24,0,0,12,13,6,14,19,0,18,1,6,11,6,9,13,0,0,1,6,7,0,1,1,5,0,1,11,2,11,5,10,7,9,6,1,4,7,2,0,6,4,0,2,1,1,4,1,1,0,0,2,2,1,2,11,3,0,1,1,4,0,1,5,1,4,2,0,0,0,1,2,12,0,4,0,1,0,7,8,3,8,0,0,0,0,5,0,0,1,8,2,1,4,0,1,3
操作性,○,5.54832179181581,0,4,1,4,3,0,6,6,8,12,10,0,11,2,4,5,3,1,2,1,0,2,6,1,0,3,0,9,0,0,9,6,4,2,8,2,3,1,0,0,2,0,0,1,5,2,1,2,6,2,0,0,0,1,1,0,0,3,2,3,0,1,0,4,1,0,1,0,0,4,0,0,1,1,0,1,0,0,1,2,0,2,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,2
質感,○,5.4115483948811,5,1,2,4,9,2,1,4,5,5,4,2,2,0,2,2,1,4,1,6,2,1,3,4,2,1,0,2,4,3,2,1,5,0,6,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,1,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,1,0,1,1,1,0,0,0
携帯性,○,5.34898957785671,0,11,0,6,1,0,3,3,2,12,12,0,11,5,5,6,1,1,1,0,0,3,2,1,1,0,0,2,1,0,0,3,10,1,1,3,1,1,0,2,4,0,2,1,0,1,0,5,17,1,1,0,0,1,0,1,0,0,0,5,0,0,1,5,0,2,1,0,1,3,0,4,1,0,2,1,6,1,1,0,0,2,0,1,2,3,0,0,0,0,8,0,2,1,1,0,0,0,1,0
ホールド感,○,5.31711583842444,0,3,1,3,1,0,5,14,5,6,4,0,9,0,2,5,1,1,1,1,0,0,0,0,0,1,0,4,0,1,0,9,2,3,1,7,3,3,0,0,1,0,3,5,3,1,0,1,4,0,1,0,0,4,0,1,0,2,2,1,0,0,0,3,1,1,1,0,0,2,0,0,0,2,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,2,2
写り,○,5.29168869338265,0,7,0,4,0,0,2,4,4,4,5,0,6,0,1,1,1,5,2,0,0,0,2,4,0,0,1,0,1,0,2,1,7,1,2,3,0,1,0,1,2,0,0,8,3,0,4,2,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,3,1,4,2,0,0,2,0,1,3,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1
使い勝手,○,5.11891294162802,0,12,0,17,0,0,7,10,10,4,5,0,4,0,15,4,12,1,6,0,0,6,1,2,0,5,5,1,0,1,3,5,3,3,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,2,3,0,0,0,0,1,1,1,0,0,0,4,1,0,5,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,2,1,0,0,1,0,1,0
バランス,○,5.07674872913142,2,20,0,14,2,0,6,5,10,6,8,1,0,0,7,5,3,4,9,0,0,3,11,0,0,5,6,4,0,0,4,3,0,2,1,2,0,0,0,4,3,0,2,0,2,0,2,0,1,2,4,1,0,3,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1
デザイン,○,5.00407167651305,0,1,0,7,0,0,0,2,3,7,11,0,0,0,2,1,0,1,1,0,0,1,4,2,0,1,0,2,0,0,6,1,3,2,2,2,3,2,1,0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,13,1,0,3,2,5,0,0,0,0,0
性能,○,4.80861622857336,1,5,1,2,2,2,0,0,0,3,3,0,1,0,0,0,0,2,1,1,0,4,0,0,1,0,0,0,0,2,3,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,6,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0
