"",H,が良い,が悪い,が良く,も良く,は感じます,も良いと,はよいです,も良い,が良いです,もよく,もいいです,は良いです,の良い,がよい,も思います,がよく,にありません,はいいです,は感じです,はありません,は思います,もいい,は良いと,は良い,はない,はありませんが,がいいです,も良いです,は良好です,もなく,はいいですね,は良く,は最高,に満足しています,が良いので,は良いので,は最高です,がいい,も悪くなく,も良いので,もありません,はあります,は高いです,が良くて,が悪く,がありません,が悪いと,はよいと,は感じません,があると,があります,はないです,を考えると,も良好です,といい,は思いますが,も満足しています,はいいと,は感じですが,が良いと,はありますが,は良いですが,は良いですね,も含めて,はあり,にある,があり,もいいと,もあります,が感じます,がいいと,はします,がある,になる,はあるので,もあり,は素晴らしいです,も気に入っています
動画,3.77355726227518,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
操作性,5.43933904423037,4,6,8,12,2,6,4,8,4,5,3,6,4,2,3,3,3,4,3,11,11,5,10,2,1,1,3,9,6,2,1,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,3,1,3,2,9,1,2,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
レスポンス,3.79864576629507,8,6,6,6,0,0,0,1,0,0,1,1,2,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持ち,4.17312288290507,22,30,0,0,0,0,2,0,4,0,0,5,0,6,0,1,0,1,2,7,0,0,6,3,1,1,1,0,0,0,2,2,1,0,2,0,1,9,0,0,0,0,0,1,6,1,5,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
自分,2.94770277922009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画質,5.62066125862425,24,12,6,14,8,6,2,10,6,11,9,13,2,1,5,1,3,11,2,18,28,4,19,7,1,4,6,5,2,5,2,7,1,4,5,0,7,9,3,0,6,6,0,2,0,0,4,1,2,1,1,3,2,2,3,7,11,11,2,13,9,1,5,1,8,3,1,2,0,0,1,7,0,3,2,1,4,3
色,4.48172767886974,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,0,1,0,1,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3
バリオテッサー,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使い勝手,4.89774959512722,17,7,10,4,0,1,0,1,15,4,1,10,12,6,1,5,1,3,0,4,1,1,5,1,0,0,12,1,5,1,0,1,1,1,3,1,2,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,4,1,0,0,0,3,0,6,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1
操作感,4.01136504182638,1,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
