"",1.66096404744368,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い,もよく,は満足です,は良いと,は素晴らしいです
質感,○,2.90346518960165,4,1,0,2,4,6,2,1,4,1
機能,○,2.84237099317711,3,1,0,1,2,1,0,2,1,3
画質,○,2.80623491078317,24,12,0,0,7,10,11,7,19,4
写り,○,2.79185835256748,4,2,0,0,4,2,1,2,5,1
操作性,○,2.6597588675847,4,6,0,1,1,8,5,2,10,0
ホールド感,○,2.52321967233551,3,5,0,1,0,1,5,1,4,0
携帯性,○,2.47518789001652,6,3,0,0,1,1,6,2,12,1
コストパフォーマンス,○,2.47374943975523,5,0,0,4,9,0,1,1,8,3
画像,○,2.32192809488736,1,1,0,0,1,1,1,0,0,0
レンズ,○,2.25162916738782,1,1,0,1,0,1,0,0,2,0
解像度,○,2.25162916738782,1,1,0,2,0,1,1,0,0,0
液晶,○,2.25162916738782,1,0,0,0,1,0,0,1,2,1
性能,○,2.24643934467102,2,0,0,1,0,0,0,2,3,2
使い勝手,○,2.21626435941014,17,7,0,0,2,1,4,1,5,0
バランス,○,2.01621624161592,14,6,0,0,0,1,5,0,8,0
描写,○,2.0,0,0,0,1,1,1,0,1,0,0
ズーム,○,2.0,1,0,0,0,1,0,0,1,0,1
精度,○,1.95021206491475,2,2,0,1,0,0,0,0,2,0
色合い,○,1.92192809488736,0,0,0,0,1,1,2,0,1,0
AF精度,○,1.92192809488736,0,2,0,1,0,0,1,0,0,1
色,○,1.92192809488736,1,2,0,0,0,1,0,0,1,0
感触,○,1.91829583405449,2,0,0,0,0,2,1,0,1,0
操作感,○,1.91829583405449,1,0,0,0,0,2,2,0,1,0
デザイン,○,1.84072577086512,7,0,0,0,2,2,1,0,11,0
機能性,○,1.79248125036058,0,0,0,0,1,0,0,1,3,1
AF,×,1.58496250072116,1,1,0,1,0,0,0,0,0,0
ホールド,×,1.58496250072116,1,0,0,0,0,0,1,0,1,0
表現力,×,1.58496250072116,0,0,0,0,1,1,0,0,1,0
解像感,×,1.58496250072116,0,1,0,0,0,0,1,0,1,0
良さ,×,1.58496250072116,0,0,0,0,1,0,0,1,0,1
見え方,×,1.58496250072116,0,0,0,0,0,0,1,0,1,1
機動性,×,1.58496250072116,0,0,0,1,1,0,0,0,1,0
レスポンス,×,1.53063906222957,8,6,0,0,0,1,0,0,1,0
反応,×,1.52192809488736,0,2,0,0,0,0,1,0,2,0
・画質,×,1.5,2,1,0,0,0,1,0,0,0,0
機種,×,1.5,1,0,0,0,0,0,0,1,2,0
グリップ感,×,1.5,1,1,0,0,0,2,0,0,0,0
組み合わせ,×,1.5,1,0,0,0,2,0,0,0,1,0
ボケ,×,1.5,1,0,0,0,2,1,0,0,0,0
評価,×,1.5,0,0,0,2,1,0,0,0,1,0
相性,×,1.5,2,0,0,0,1,0,0,0,1,0
バッテリー,×,1.5,1,0,0,0,0,0,0,0,1,2
持ち,×,1.46189748186009,22,30,0,0,1,0,0,0,6,0
感じ,×,1.37878349348618,4,0,0,0,2,0,0,0,1,0
発色,×,1.37095059445467,0,2,0,0,2,0,6,0,0,0
汎用性,×,1.0,1,0,0,0,0,1,0,0,0,0
写真,×,1.0,0,0,0,0,1,0,0,0,1,0
操作,×,1.0,0,0,0,0,0,0,0,1,1,0
重さ,×,1.0,3,0,0,0,0,3,0,0,0,0
電池持ち,×,1.0,0,0,0,0,0,1,1,0,0,0
価格,×,1.0,0,0,0,1,0,1,0,0,0,0
結果,×,1.0,0,0,0,0,0,0,0,2,0,2
ハンドリング,×,1.0,1,1,0,0,0,0,0,0,0,0
造り,×,1.0,1,0,0,0,0,1,0,0,0,0
映り,×,1.0,0,1,0,0,0,0,0,1,0,0
高感度画質,×,1.0,1,0,0,0,0,0,0,0,1,0
設定,×,1.0,1,0,0,0,0,1,0,0,0,0
バッテリー持ち,×,1.0,1,0,0,0,0,0,0,1,0,0
ホワイトバランス,×,1.0,1,0,0,0,0,1,0,0,0,0
調子,×,1.0,0,1,0,0,0,1,0,0,0,0
ぼけ具合,×,1.0,0,0,0,0,1,1,0,0,0,0
見栄え,×,1.0,1,0,0,0,0,0,0,0,1,0
表現,×,1.0,0,0,0,0,1,0,0,0,1,0
見え,×,1.0,1,1,0,0,0,0,0,0,0,0
フィーリング,×,1.0,0,1,0,0,0,1,0,0,0,0
製品,×,1.0,1,0,0,0,0,0,0,0,1,0
絵,×,1.0,1,0,0,0,1,0,0,0,0,0
カメラ,×,1.0,0,0,0,0,0,0,0,0,1,1
グリップ,×,1.0,1,0,0,0,0,1,0,0,0,0
補正,×,1.0,0,0,0,1,0,0,0,0,1,0
再現性,×,1.0,0,0,0,0,0,0,1,0,1,0
評判,×,1.0,1,0,0,0,0,1,0,0,0,0
フラッシュ,×,1.0,1,0,0,0,0,0,0,0,1,0
自分,×,1.0,1,0,0,0,0,0,0,0,1,0
描写力,×,1.0,0,0,0,0,0,0,0,0,1,1
5倍ズーム,×,1.0,0,0,0,0,1,0,0,0,1,0
もち,×,0.986426728730842,1,7,0,0,0,0,0,0,1,0
条件,×,0.91829583405449,1,2,0,0,0,0,0,0,0,0
追従性,×,0.91829583405449,0,0,0,0,0,0,2,0,1,0
ファインダー,×,0.91829583405449,0,0,0,0,0,1,0,0,2,0
ホールド性,×,0.91829583405449,1,2,0,0,0,0,0,0,0,0
CP,×,0.91829583405449,2,0,0,1,0,0,0,0,0,0
サイズ,×,0.91829583405449,1,0,0,0,2,0,0,0,0,0
質,×,0.91829583405449,0,2,0,1,0,0,0,0,0,0
ボケ味,×,0.91829583405449,0,0,0,0,1,0,0,0,0,2
視認性,×,0.91829583405449,2,1,0,0,0,0,0,0,0,0
目,×,0.91829583405449,1,2,0,0,0,0,0,0,0,0
