"",4.09210737744911,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い,もよく,は満足です,は良いと,は素晴らしいです,が良く,は良いのですが,も良く,は感じます,も良いと,はよいです,もいいです,は良いです,はないです,の良い,を考えると,を考えて,も良好です,がよい,も思います,にありません,はいいです,は感じです,といい,は素晴らしい,は印象です,はありません,は思いますが,は悪くないと,は思います,もいい,はいいと,が良いと,は良い,がよいと,はない,もありますが,は満足しています,もよいです,はありませんが,がいいです,がいいですね,も良いです,がいいので,は気に入っています,は良好です,もなく,はしました,はありますが,はいいですね,は良く,は最高,は悪い,に満足しています,が良いので,は良いですね,にはあります,が劣る,は良いので,が高い,はいいのですが,に感じます,がいい,も含めて,も悪くなく,はあり,が悪いです,を考えれば,もありません,はあります,には満足しています,にある,があり,もいいと,はものだと,を求める,はします,は文句なし,も十分,はないですが,が欲しい,が悪いと,をして,に感じる,になります,があると,が良くて,がいいと,があります,はよいと,がありません,が感じます,にあります,は感じました,も満足しています,は感じですが,はよく,はないので,があれば,になる,はなります,はあるので,もあり,も気に入っています,はある,もあります,もあって,がある
画質,○,6.12037845189876,24,12,0,0,7,10,11,7,19,4,6,4,14,8,6,2,9,13,3,2,2,0,2,1,5,3,11,2,3,5,1,18,7,1,28,4,11,13,7,0,1,1,8,1,4,6,1,5,1,5,2,5,3,9,2,7,1,2,4,5,5,3,2,0,0,2,1,9,1,3,8,4,2,6,6,12,3,1,2,1,6,7,7,3,2,2,4,2,1,5,1,2,1,1,1,0,0,3,2,11,2,2,0,1,3,2,2,1,3,1,0,0,0
操作性,○,5.92303937549201,4,6,0,1,1,8,5,2,10,0,8,4,12,2,6,4,3,6,1,4,3,2,3,2,3,3,4,3,1,1,1,11,3,1,11,5,9,2,2,1,1,2,1,2,1,3,1,9,2,1,6,2,5,3,1,2,1,2,1,2,1,2,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,1,2,1,0,0,0,0,0,0,0,0,0
質感,○,5.74425661153465,4,1,0,2,4,6,2,1,4,1,5,1,5,2,3,1,5,4,0,1,0,0,2,1,0,0,5,4,4,0,1,2,1,1,2,0,2,1,0,0,0,1,0,1,1,1,2,2,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,9,0,0,4,3,1,1,0,0,0,6,2,1,4,1,0,1,1,0,1,0,1,0,0,0,0,2,1,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,3,2,0,2,0,1
写り,○,5.73244511473741,4,2,0,0,4,2,1,2,5,1,4,1,4,1,2,0,0,4,3,7,0,0,0,0,0,2,7,1,0,2,1,6,0,0,4,3,2,2,3,2,0,0,3,0,0,1,0,0,2,0,1,0,0,1,4,2,2,1,2,1,0,1,0,1,0,0,1,5,0,1,2,0,2,8,1,3,2,0,1,0,2,2,1,1,1,0,1,2,0,3,0,2,1,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0
ホールド感,○,5.70823916716257,3,5,0,1,0,1,5,1,4,0,5,3,6,1,0,2,3,14,0,3,0,0,2,0,0,2,2,3,2,0,0,9,2,0,4,3,0,1,7,3,0,0,0,0,2,1,0,4,1,2,9,0,2,0,0,1,2,1,0,3,1,0,0,1,1,2,1,1,0,1,2,0,1,5,3,1,0,2,2,0,1,3,1,1,0,3,0,0,2,0,1,1,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,3,0
レンズ,○,5.62852496414774,1,1,0,1,0,1,0,0,2,0,1,0,1,1,0,2,0,10,1,5,0,0,0,0,2,1,4,1,1,0,0,8,1,0,6,3,3,2,1,1,4,1,1,0,2,0,2,0,0,0,0,1,2,2,1,1,1,0,1,0,0,3,0,1,0,0,1,1,2,0,5,0,0,1,4,0,6,5,0,1,0,6,1,0,0,1,0,1,0,3,2,1,1,0,0,1,1,1,0,0,0,1,2,3,0,2,1,0,0,1,0,0,5
携帯性,○,5.59045933982126,6,3,0,0,1,1,6,2,12,1,2,5,12,1,2,3,1,3,1,11,3,2,0,3,1,1,10,2,1,1,0,11,2,2,12,0,0,1,3,1,1,0,2,1,7,1,0,2,5,0,3,1,4,0,0,4,1,2,0,1,1,0,0,2,1,0,0,1,0,1,0,1,3,1,1,1,0,0,1,1,5,0,3,0,1,0,2,2,0,0,1,1,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
デザイン,○,5.4420578641001,7,0,0,0,2,2,1,0,11,0,3,2,7,5,4,1,3,2,0,1,0,0,0,1,1,0,3,5,1,0,0,0,3,3,11,2,6,1,2,0,0,0,2,0,2,0,4,2,0,13,1,0,1,4,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,1,5,0,0,1,2,0,0,0,5,0,0,3,0,0,2,0,0,1,1,1,0,0,1,0,3,1,0,0,0,1,1,1,1,0,0,0,1,0,3,2,0,1,0
カメラ,○,5.28288905264804,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,3,0,0,0,0,1,0,3,0,0,0,1,6,3,1,3,0,1,1,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,4,0,1,0,3,1,2,0,0,0,2,0,9,0,3,2,1,1,0,1,0,0,1,0,0,0,0,2,2,2,0,0,2,0,1,2,0,2
機能,○,5.24338430553444,3,1,0,1,2,1,0,2,1,3,0,0,0,0,0,0,0,0,2,0,8,1,0,0,1,0,0,2,0,1,0,4,1,0,1,1,0,0,0,0,3,1,1,0,6,0,0,0,0,0,0,1,0,4,0,0,1,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,12,2,1,3,0,10,0,1,3,0,1,2,1,5,0,2,0,0,2,0,0,2,0,1,0,1,0,0,0,0,1,7,0,0,2,3,0,0,4,3,5
