"",3.4034552051829,H,が良い,が悪い,が良く,も良く,は感じます,も良いと,はよいです,も良い,が良いです,もよく,もいいです,は良いです,の良い,がよい,も思います,がよく,にありません,はいいです,は感じです,はありません,は思います,もいい,は良いと,は良い,はない,はありませんが,がいいです,も良いです,は良好です,もなく,はいいですね,は良く,は最高,に満足しています,が良いので,は良いので,は最高です,がいい,も悪くなく,も良いので,もありません,はあります,は高いです,が良くて,が悪く,がありません,が悪いと,はよいと,は感じません,があると,があります
画質,○,5.0247427030008,24,12,6,14,8,6,2,10,6,11,9,13,2,1,5,1,3,11,2,18,28,4,19,7,1,4,6,5,2,5,2,7,1,4,5,0,7,9,3,0,6,6,0,2,0,0,4,1,2,1,1
操作性,○,4.99754932556565,4,6,8,12,2,6,4,8,4,5,3,6,4,2,3,3,3,4,3,11,11,5,10,2,1,1,3,9,6,2,1,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
ホールド感,○,4.94181582360956,3,5,5,6,1,0,2,1,2,5,3,14,3,0,0,1,2,2,3,9,4,3,4,7,0,2,1,4,9,0,0,1,2,0,3,1,0,1,1,4,5,3,1,1,3,1,0,1,0,1,1
質感,○,4.91584819916472,4,1,5,5,2,3,1,6,2,2,5,4,1,1,0,1,0,5,4,2,2,0,4,0,0,1,1,2,1,1,1,0,0,1,0,1,4,4,1,0,0,6,2,1,0,0,0,0,1,2,3
携帯性,○,4.8487294161982,6,3,2,12,1,2,3,1,5,6,1,3,11,3,1,0,1,10,2,11,12,0,12,3,1,7,1,2,3,1,0,4,1,0,1,2,1,1,1,1,1,1,0,1,2,0,2,2,1,1,0
写り,○,4.82116395932274,4,2,4,4,1,2,0,2,1,1,0,4,7,0,0,0,2,7,1,6,4,3,5,3,0,0,1,0,1,0,4,2,2,2,1,1,4,5,1,0,8,1,0,2,0,0,1,2,0,0,0
レンズ,○,4.58757090476521,1,1,1,1,1,0,2,1,0,0,0,10,5,0,2,0,1,4,1,8,6,3,2,1,4,2,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,4,1,1,0,1,0,0,1,2,0
デザイン,○,4.57959634661003,7,0,3,7,5,4,1,2,2,1,3,2,1,1,1,1,0,3,5,0,11,2,11,2,0,2,0,2,1,0,0,0,0,0,2,0,2,1,1,0,1,2,0,0,0,1,0,3,1,0,0
使い勝手,○,4.57336047383768,17,7,10,4,0,1,0,1,15,4,1,10,12,6,1,5,1,3,0,4,1,1,5,1,0,0,12,1,5,1,0,1,1,1,3,1,2,1,1,0,1,0,0,1,1,1,1,1,0,0,1
画像,○,4.51531953111478,1,1,0,0,2,1,0,1,0,1,1,2,0,0,0,0,3,0,1,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,0,1,1,1,1,0,0,1
バランス,○,4.48574040853551,14,6,10,6,0,11,1,1,7,5,0,5,20,3,0,5,0,0,0,0,0,2,8,2,1,0,3,4,3,1,2,3,0,0,2,0,0,4,1,3,0,0,0,1,2,1,4,1,0,0,0
精度,○,4.23636898364495,2,2,2,1,0,2,0,0,0,0,1,1,2,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1
機能,○,4.21785910765796,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,1,1,1,0,3,6,0,0,0,1,0,0,1,5,0,0,2,1,0,0,2,1,1,0,0,1,0,0,1,2,2
発色,○,4.19232182142742,0,2,3,3,1,0,0,0,0,6,1,2,1,0,0,1,0,1,1,1,2,1,0,0,0,0,0,4,1,2,0,0,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0
描写,○,4.16688676113544,0,0,1,6,0,0,0,1,0,0,1,5,2,0,1,0,0,0,0,4,5,1,0,1,0,0,1,3,0,1,0,3,1,0,2,0,1,1,0,1,0,5,1,2,0,0,0,0,0,0,0
色,○,4.09579525500093,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,0,1,0,1,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
性能,○,4.03383910398286,2,0,0,3,0,0,0,0,0,0,0,0,5,4,0,0,1,0,1,1,4,0,3,1,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,3,1,2,0,0,0,0,0,4,2
補正,○,3.99074468712277,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,0,1,0,4,9,0,1,0,3,2,2,0,0,0,0,0,1,0,0,2,2,1,0,0,1,0,0,0,1,0
AF,○,3.95190404095379,1,1,0,0,1,2,0,0,0,0,0,2,0,0,2,0,1,0,0,6,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,3,2,0
大きさ,○,3.91397707318275,0,0,0,1,0,1,0,0,2,0,1,2,0,0,0,0,0,2,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,2,0,0
