"",H,が良い,が悪い,が良く,は良いのですが,も良く,も良いし,は感じます,も良いと,はよいです,も良い,が良いです,もよく,は優秀です,もいいです,は良いです,はないです,にあります,の良い,は満足です,はしますが,を考えると,はいい,も良好です,がよい,も思います,がよく,にありません,はいいです,は感じです,といい,はありません,は思いますが,は悪くないと,も満足しています,は思います,もいい,は良いと,はいいと,が良いと,は良い,がよいと,はない,もありますが,は満足しています,もよいです,という点では,はありませんが,がいいです,がいいですね,をしましたが,も良いです,がいいので,は気に入っています,は良好です,もなく,はしました,はありますが,で決めました,はいいですね,は良く,は最高,は悪い,に満足しています,が良いので,は良いですね,にはあります,はないと,は良いので,が高い,は最高です,で思います,がいい,が良くない,にあり,も含めて,も悪くなく,も良いので,はあり,が悪いです,を考えれば,もありません,はあります,には満足しています,がイマイチ,は高いです,にある,があり,もいいと,は悪くない,が良くて,が悪く,がありません,が悪いと,はよいと,が悪いので,もあります,が違う,が感じます,がいいと,は優れています,にありますが,はします,は十分です,も悪くないと,をして,が良いとは,を求める,は感じません,も十分,はないですが,もあり,になります,があると,があります
動画,4.0588138903312,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
操作性,6.00777790525915,4,6,8,4,12,1,2,6,4,8,4,5,1,3,6,1,1,4,2,1,3,2,3,2,3,3,3,4,3,1,11,3,1,2,11,5,10,9,2,2,1,1,2,1,2,4,1,3,1,1,9,2,1,6,2,5,3,2,1,2,1,2,1,2,1,2,4,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,3.99326968951511,8,6,6,1,6,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,2,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持ち,4.68013136979411,22,30,0,1,0,0,0,0,2,0,4,0,0,0,5,0,0,0,0,1,0,1,0,6,0,1,0,1,2,0,7,1,1,0,0,0,6,0,2,3,0,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,1,1,2,2,1,0,0,2,2,0,0,0,0,1,0,9,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,6,1,5,1,4,1,1,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0
自分,3.45656476213095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
画質,6.13210738491597,24,12,6,4,14,2,8,6,2,10,6,11,1,9,13,3,3,2,7,2,2,3,2,1,5,1,3,11,2,3,18,7,1,11,28,4,19,11,13,7,0,1,1,8,1,2,4,6,1,1,5,1,5,2,5,3,9,0,2,7,1,2,4,5,5,3,1,0,0,7,0,9,1,1,1,3,0,8,4,2,6,6,12,1,0,3,1,2,1,2,0,0,4,1,2,0,3,0,1,3,1,7,4,3,2,2,6,2,3,2,1,5,1,1
色,4.62521276604129,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0
バリオテッサー,-0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使い勝手,5.26019271498583,17,7,10,0,4,0,0,1,0,1,15,4,0,1,10,0,0,12,1,0,4,0,1,6,1,5,1,3,0,0,4,0,2,0,1,1,5,3,6,1,1,0,1,1,0,2,0,12,4,0,1,1,1,5,1,0,0,0,0,1,1,1,1,3,1,1,0,1,0,2,0,1,1,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
操作感,4.09579525500093,1,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
