"",4.15844240253773,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い,が良く,は良いのですが,も良く,は感じます,も良いと,はよいです,もよく,は優秀です,もいいです,は良いです,はないです,の良い,は満足です,はしますが,はいい,も良好です,も思います,にありません,はいいです,は感じです,が気に入りました,といい,は素晴らしい,は印象です,はありません,は思いますが,は思います,もいい,は良いと,は感じですが,が良いと,は良い,がよいと,はない,もありますが,は満足しています,はありませんが,がいいです,がいいですね,をしましたが,は優れていると,も良いです,がいいので,もなく,はしました,はありますが,は劣りますが,はないので,は良く,は最高,は悪い,に満足しています,が良いので,にはあります,は使えます,はないと,は良いので,で思います,に感じます,がいい,にあり,も含めて,も悪くなく,も良いので,はあり,もありません,はあります,には満足しています,にある,があり,もいいと,は悪くない,はものだと,を求める,はします,は感じません,は文句なし,も十分,はないですが,が欲しい,も悪くないと,が良いとは,をして,もあり,になります,は優れています,はしましたが,があると,が良くて,も文句なし,に関しては思います,がいいと,となります,があります,はよいと,にあります,を考えると,がよい,も満足しています,はいいと,はいいですね,は良いですね,が高い,になる,はなります,はあるので,があるので,は素晴らしいです,も気に入っています,はある,もあります,もあって,がある,のある,はあると,が感じます
画質,○,6.17911504258615,24,12,0,0,7,10,6,4,14,8,6,2,11,1,9,13,3,2,7,2,3,2,5,3,11,2,1,3,5,1,18,7,28,4,19,2,13,7,0,1,1,8,4,6,1,1,1,5,1,5,3,9,7,0,7,1,2,4,5,3,2,1,0,0,1,9,1,1,3,0,8,6,6,12,3,1,2,1,1,6,7,2,7,3,2,2,3,2,2,1,5,3,1,1,2,2,1,1,1,1,1,3,2,1,11,11,2,5,0,3,2,2,1,4,3,1,0,0,0,0,0,0
操作性,○,5.93303376174044,4,6,0,1,1,8,8,4,12,2,6,4,5,1,3,6,1,4,2,1,2,3,3,3,4,3,1,1,1,1,11,3,11,5,10,1,2,2,1,1,2,1,1,3,1,1,2,9,2,2,5,3,2,2,2,1,2,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,○,5.84448062111367,4,2,0,0,4,2,4,1,4,1,2,0,1,0,0,4,3,7,2,0,1,0,0,2,7,1,0,0,2,1,6,0,4,3,5,0,2,3,2,0,0,3,0,1,0,0,0,0,2,0,0,1,0,0,2,2,1,2,1,1,0,1,1,1,1,5,4,0,1,0,2,8,1,3,2,0,1,0,0,2,2,0,1,1,1,0,1,1,2,0,3,0,1,0,2,0,1,1,1,0,2,0,0,0,1,2,4,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0
質感,○,5.81408761586928,4,1,0,2,4,6,5,1,5,2,3,1,2,0,5,4,0,1,1,1,0,2,0,0,5,4,5,4,0,1,2,1,2,0,4,0,1,0,0,0,1,0,1,1,2,0,0,2,0,1,0,3,2,0,0,0,0,1,0,0,0,0,1,0,0,4,0,3,1,0,1,0,6,2,1,4,1,0,0,1,1,1,0,1,0,1,1,0,0,3,0,0,0,2,1,1,1,0,0,3,0,0,0,1,1,2,1,1,9,0,0,0,0,1,2,0,2,0,1,2,0,1
レンズ,○,5.80922280924006,1,1,0,1,0,1,1,0,1,1,0,2,0,0,0,10,1,5,0,0,0,0,2,1,4,1,0,1,0,0,8,1,6,3,2,0,2,1,1,4,1,1,2,0,2,1,0,0,0,1,2,2,0,2,1,1,0,1,0,3,1,4,1,2,1,1,3,2,0,0,5,1,4,0,6,5,0,0,1,0,6,1,1,0,0,1,1,0,1,0,3,1,0,2,1,0,0,1,1,0,0,1,0,0,0,3,1,0,0,0,2,1,4,0,0,1,0,0,5,0,4,1
ホールド感,○,5.77424873164603,3,5,0,1,0,1,5,3,6,1,0,2,5,0,3,14,0,3,1,1,2,2,0,2,2,3,0,2,0,0,9,2,4,3,4,0,1,7,3,0,0,0,2,1,0,1,0,4,1,0,2,0,0,0,1,2,1,0,3,0,0,0,1,0,1,1,0,0,1,4,2,5,3,1,0,2,2,3,0,1,3,0,1,1,0,3,0,1,0,1,0,1,2,1,1,0,1,1,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,1
携帯性,○,5.71430175983109,6,3,0,0,1,1,2,5,12,1,2,3,6,2,1,3,1,11,2,0,0,0,1,1,10,2,1,1,1,0,11,2,12,0,12,1,1,3,1,1,0,2,7,1,0,2,1,2,5,1,4,0,6,1,4,1,2,0,1,0,0,2,2,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,5,0,1,3,0,1,0,1,3,2,0,0,2,1,1,1,1,0,1,0,0,2,0,3,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
デザイン,○,5.57043186659354,7,0,0,0,2,2,3,2,7,5,4,1,1,0,3,2,0,1,0,1,0,0,1,0,3,5,5,1,0,0,0,3,11,2,11,1,1,2,0,0,0,2,2,0,4,1,0,2,0,0,1,4,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,2,1,0,5,1,2,0,0,0,5,1,0,0,3,1,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,1,6,0,2,0,0,0,1,0,0,3,2,0,1,0,1,5,0
機能,○,5.441868235537,3,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,2,0,0,1,0,4,1,1,1,1,0,0,0,0,3,1,1,6,0,0,0,1,0,0,1,0,4,2,1,0,1,0,5,0,1,0,2,0,1,0,1,0,0,0,0,0,2,1,3,0,10,0,1,1,3,0,1,1,2,1,5,0,0,2,3,0,0,0,2,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,0,2,7,3,0,0,4,3,5,1,1,0
描写,○,5.38957626717671,0,0,0,1,1,1,1,0,6,0,0,0,0,0,1,5,0,2,1,0,1,1,1,0,0,0,1,0,2,0,4,0,5,1,0,0,4,1,0,0,0,2,0,1,0,0,2,3,1,1,0,1,0,0,3,1,0,0,2,2,1,0,0,0,1,1,0,2,0,1,4,0,5,3,5,0,2,0,0,0,1,0,2,0,1,0,1,1,0,0,7,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
