"",2.25754247590989,H,の高い,の良い,は高いです,が良い,が高い,は高いと,が悪い,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,が良いです,もよく,がいいです,は思います,がいい,が良いと,が高く,は高い,がよい,も良いと,は最高です,が高いと,がよく,のよい,も良いです,も高く,があります,はいいと,は良好です,はいいです,が高いので,が良いので,も良い,は良い,もいいです,はあります,は5です,が悪いと,が悪いです,は抜群です,も良好です,は悪いです,が弱いです,がいいですね,は素晴らしいです,に優れている
質感,○,4.99059627614074,5,1,2,4,9,2,1,4,5,5,4,2,2,0,2,2,1,2,4,1,6,2,1,3,4,2,1,0,2,4,3,2,1,5,0,0,6,0,5,6,0,0,0,0,2,0,0,2,1,0
操作性,○,4.82636574695756,0,4,1,4,3,0,6,6,8,12,10,0,11,2,4,5,3,11,1,2,1,0,2,6,1,0,3,0,9,0,0,9,6,4,0,2,8,2,3,1,0,0,2,6,3,3,0,1,0,0
画質,○,4.74354284948444,0,2,0,24,0,0,12,13,6,14,19,0,18,1,6,11,6,28,9,13,0,0,1,6,7,0,1,1,5,0,1,11,2,11,0,5,10,7,9,6,1,4,4,1,2,3,0,1,4,0
携帯性,○,4.55480481113126,0,11,0,6,1,0,3,3,2,12,12,0,11,5,5,6,1,12,1,1,0,0,3,2,1,1,0,0,2,1,0,0,3,10,1,1,1,3,1,1,0,2,1,17,0,5,0,0,1,4
使い勝手,○,4.48794142369664,0,12,0,17,0,0,7,10,10,4,5,0,4,0,15,4,12,1,1,6,0,0,6,1,2,0,5,5,1,0,1,3,5,3,0,3,1,1,1,0,0,1,2,0,1,0,0,4,0,0
バランス,○,4.47938621100541,2,20,0,14,2,0,6,5,10,6,8,1,0,0,7,5,3,0,4,9,0,0,3,11,0,0,5,6,4,0,0,4,3,0,0,2,1,2,0,0,0,4,2,1,0,1,0,1,0,0
ホールド感,○,4.47860495530184,0,3,1,3,1,0,5,14,5,6,4,0,9,0,2,5,1,4,1,1,1,0,0,0,0,0,1,0,4,0,1,0,9,2,0,3,1,7,3,3,0,0,0,4,2,1,0,0,0,0
写り,○,4.43838508141996,0,7,0,4,0,0,2,4,4,4,5,0,6,0,1,1,1,4,5,2,0,0,0,2,4,0,0,1,0,1,0,2,1,7,0,1,2,3,0,1,0,1,0,0,0,0,0,0,1,0
精度,○,4.29465347354434,1,2,1,2,4,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,3,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
性能,○,4.24901433685939,1,5,1,2,2,2,0,0,0,3,3,0,1,0,0,0,0,4,2,1,1,0,4,0,0,1,0,0,0,0,2,3,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,2,0
デザイン,○,4.24028157556808,0,1,0,7,0,0,0,2,3,7,11,0,0,0,2,1,0,11,1,1,0,0,1,4,2,0,1,0,2,0,0,6,1,3,0,2,2,2,3,2,1,0,0,0,0,0,0,4,0,0
コストパフォーマンス,○,3.94557136689546,36,5,4,5,14,24,0,4,1,1,8,4,0,33,0,1,0,2,1,2,4,2,3,2,9,6,0,0,0,4,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3
