"",0.775488750216347,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い
機能,○,2.15563906222957,3,1,0,1,2,1
質感,○,2.1162996057017,4,1,0,2,4,6
画像,○,2.0,1,1,0,0,1,1
レンズ,○,2.0,1,1,0,1,0,1
操作性,○,1.94643934467102,4,6,0,1,1,8
解像度,○,1.92192809488736,1,1,0,2,0,1
写り,○,1.91829583405449,4,2,0,0,4,2
画質,○,1.842459786087,24,12,0,0,7,10
ホールド感,○,1.68547529722733,3,5,0,1,0,1
携帯性,○,1.61718957259271,6,3,0,0,1,1
AF,○,1.58496250072116,1,1,0,1,0,0
描写,○,1.58496250072116,0,0,0,1,1,1
精度,○,1.52192809488736,2,2,0,1,0,0
色,○,1.5,1,2,0,0,0,1
グリップ感,○,1.5,1,1,0,0,0,2
・画質,○,1.5,2,1,0,0,0,1
ボケ,○,1.5,1,0,0,0,2,1
コストパフォーマンス,○,1.49553802991911,5,0,0,4,9,0
使い勝手,○,1.37939295565758,17,7,0,0,2,1
デザイン,○,1.309296668237,7,0,0,0,2,2
レスポンス,○,1.27290559532006,8,6,0,0,0,1
バランス,○,1.11552009358193,14,6,0,0,0,1
持ち,○,1.09935038893535,22,30,0,0,1,0
重さ,○,1.0,3,0,0,0,0,3
見え,○,1.0,1,1,0,0,0,0
評判,○,1.0,1,0,0,0,0,1
ズーム,○,1.0,1,0,0,0,1,0
感触,○,1.0,2,0,0,0,0,2
ハンドリング,○,1.0,1,1,0,0,0,0
汎用性,○,1.0,1,0,0,0,0,1
液晶,○,1.0,1,0,0,0,1,0
ホワイトバランス,○,1.0,1,0,0,0,0,1
造り,○,1.0,1,0,0,0,0,1
設定,○,1.0,1,0,0,0,0,1
絵,○,1.0,1,0,0,0,1,0
グリップ,○,1.0,1,0,0,0,0,1
フィーリング,○,1.0,0,1,0,0,0,1
調子,○,1.0,0,1,0,0,0,1
発色,○,1.0,0,2,0,0,2,0
機動性,○,1.0,0,0,0,1,1,0
価格,○,1.0,0,0,0,1,0,1
ぼけ具合,○,1.0,0,0,0,0,1,1
表現力,○,1.0,0,0,0,0,1,1
色合い,○,1.0,0,0,0,0,1,1
操作感,○,0.91829583405449,1,0,0,0,0,2
感じ,○,0.91829583405449,4,0,0,0,2,0
相性,○,0.91829583405449,2,0,0,0,1,0
ホールド性,○,0.91829583405449,1,2,0,0,0,0
CP,○,0.91829583405449,2,0,0,1,0,0
サイズ,○,0.91829583405449,1,0,0,0,2,0
組み合わせ,○,0.91829583405449,1,0,0,0,2,0
性能,○,0.91829583405449,2,0,0,1,0,0
視認性,○,0.91829583405449,2,1,0,0,0,0
目,○,0.91829583405449,1,2,0,0,0,0
条件,○,0.91829583405449,1,2,0,0,0,0
質,○,0.91829583405449,0,2,0,1,0,0
AF精度,○,0.91829583405449,0,2,0,1,0,0
評価,○,0.91829583405449,0,0,0,2,1,0
満足感,×,0.591672778582327,0,0,0,6,1,0
もち,×,0.543564443199596,1,7,0,0,0,0
満足度,×,0.252530771516139,0,0,0,68,3,0
動画,×,-0.0,1,0,0,0,0,0
自分,×,-0.0,1,0,0,0,0,0
バリオテッサー,×,-0.0,1,0,0,0,0,0
センス,×,-0.0,1,0,0,0,0,0
天気,×,-0.0,2,0,0,0,0,0
悪さ,×,-0.0,1,0,0,0,0,0
・ホールド感,×,-0.0,1,0,0,0,0,0
問題無しホールド感,×,-0.0,1,0,0,0,0,0
液晶パネル,×,-0.0,1,0,0,0,0,0
ピンク,×,-0.0,1,0,0,0,0,0
カラーナイトビュー,×,-0.0,1,0,0,0,0,0
・携帯性,×,-0.0,2,0,0,0,0,0
フットワーク,×,-0.0,1,0,0,0,0,0
形式,×,-0.0,1,0,0,0,0,0
FZシリーズ,×,-0.0,1,0,0,0,0,0
SR8,×,-0.0,1,0,0,0,0,0
968C,×,-0.0,1,0,0,0,0,0
機種,×,-0.0,1,0,0,0,0,0
竭。映り,×,-0.0,1,0,0,0,0,0
ない,×,-0.0,1,0,0,0,0,0
EVF,×,-0.0,1,0,0,0,0,0
画像処理エンジン,×,-0.0,1,0,0,0,0,0
切れ,×,-0.0,1,0,0,0,0,0
気持ち,×,-0.0,7,0,0,0,0,0
3．防塵防滴性能,×,-0.0,1,0,0,0,0,0
工学ズーム,×,-0.0,1,0,0,0,0,0
肌,×,-0.0,1,0,0,0,0,0
5．マクロ性能,×,-0.0,1,0,0,0,0,0
レンズ性能,×,-0.0,1,0,0,0,0,0
バッテリー,×,-0.0,1,0,0,0,0,0
皆さん,×,-0.0,1,0,0,0,0,0
D80,×,-0.0,1,0,0,0,0,0
画像編集メニュー,×,-0.0,1,0,0,0,0,0
指,×,-0.0,1,0,0,0,0,0
ホールド,×,-0.0,1,0,0,0,0,0
バッテリー持ち,×,-0.0,1,0,0,0,0,0
コントラスト,×,-0.0,1,0,0,0,0,0
3．ホールド感,×,-0.0,2,0,0,0,0,0
・デザイン,×,-0.0,2,0,0,0,0,0
修正,×,-0.0,1,0,0,0,0,0
グリップ性,×,-0.0,1,0,0,0,0,0
製品,×,-0.0,1,0,0,0,0,0
色乗り,×,-0.0,1,0,0,0,0,0
リング,×,-0.0,1,0,0,0,0,0
ADJボタン,×,-0.0,1,0,0,0,0,0
・レンズ,×,-0.0,1,0,0,0,0,0
・操作性,×,-0.0,3,0,0,0,0,0
(色調・解像度),×,-0.0,1,0,0,0,0,0
が,×,-0.0,1,0,0,0,0,0
キレ,×,-0.0,1,0,0,0,0,0
重い,×,-0.0,1,0,0,0,0,0
16-45mmf4,×,-0.0,1,0,0,0,0,0
中央,×,-0.0,1,0,0,0,0,0
DA21mm,×,-0.0,1,0,0,0,0,0
20mm,×,-0.0,1,0,0,0,0,0
0付近,×,-0.0,1,0,0,0,0,0
光,×,-0.0,2,0,0,0,0,0
部分,×,-0.0,1,0,0,0,0,0
PF,×,-0.0,1,0,0,0,0,0
出来,×,-0.0,1,0,0,0,0,0
ホールド感),×,-0.0,1,0,0,0,0,0
縦グリ,×,-0.0,1,0,0,0,0,0
ライブビュー,×,-0.0,1,0,0,0,0,0
2)バッテリー,×,-0.0,1,0,0,0,0,0
肌触り感,×,-0.0,1,0,0,0,0,0
「水族館」,×,-0.0,1,0,0,0,0,0
135mm近辺,×,-0.0,1,0,0,0,0,0
濃さ,×,-0.0,1,0,0,0,0,0
音質,×,-0.0,1,0,0,0,0,0
コストメリット,×,-0.0,1,0,0,0,0,0
フロントキャップ,×,-0.0,1,0,0,0,0,0
価格設定,×,-0.0,1,0,0,0,0,0
マッチング,×,-0.0,1,0,0,0,0,0
ボリューム感,×,-0.0,1,0,0,0,0,0
子供,×,-0.0,1,0,0,0,0,0
・描写,×,-0.0,1,0,0,0,0,0
持ち運び,×,-0.0,1,0,0,0,0,0
見栄え,×,-0.0,1,0,0,0,0,0
重量感,×,-0.0,1,0,0,0,0,0
出番,×,-0.0,1,0,0,0,0,0
作り,×,-0.0,1,0,0,0,0,0
高感度画質,×,-0.0,1,0,0,0,0,0
無い,×,-0.0,1,0,0,0,0,0
アルミ・ボディ,×,-0.0,1,0,0,0,0,0
フラッシュ,×,-0.0,1,0,0,0,0,0
まとまり,×,-0.0,1,0,0,0,0,0
2点,×,-0.0,1,0,0,0,0,0
1)機動性,×,-0.0,1,0,0,0,0,0
